genre_id,name_en,name_ja,parent_genre_id,description_ja,description_en,energy,mood,key_instruments,reference_artists,is_active,display_order
guaguanco,Guaguancó,ワワンコ,rumba_cubana,キューバ・ルンバを代表する形式。求愛を踊りで描く,A leading form of Cuban rumba depicting courtship,4,情熱/求愛/祝祭,congas / cajón / clave / palmas,Los Muñequitos de Matanzas,1,10
rumba_cubana,Rumba Cubana,ルンバ・クバーナ,,アフロキューバの打楽器と歌・踊りの世俗音楽,Afro-Cuban secular drumming song and dance,4,祝祭/土着/情熱,congas / quinto / clave / vocals,Los Muñequitos de Matanzas / Yoruba Andabo,1,20
afro_cuban_jazz,Afro-Cuban Jazz,アフロキューバン・ジャズ,,ジャズとキューバのクラーベが融合したラテンジャズの源流,Root of Latin jazz fusing jazz harmony and clave,4,洗練/情熱/グルーヴ,congas / piano montuno / brass / clave,Chano Pozo / Dizzy Gillespie / Chucho Valdés,1,30
rumba_columbia,Rumba Columbia,ルンバ・コルンビア,rumba_cubana,マタンサス発祥の高速で男性的なルンバ,Fast male solo rumba from Matanzas,4,高速/男性的/技巧,quinto / clave / palmas / vocals,Los Muñequitos de Matanzas,1,40
son_cubano,Son Cubano,ソン・クバーノ,,弦楽器とアフリカの打楽器が出会ったキューバ音楽の根幹,Backbone of Cuban music and mother of salsa,3,ノスタルジック/陽気/温かい,tres / bongos / maracas / upright bass / trumpet,Buena Vista Social Club / Compay Segundo,1,50
trova,Trova,トローバ,,ギターの弾き語りで詩情を歌う伝統,Guitar troubadour song tradition,2,詩的/哀愁/親密,acoustic guitar / vocals,Silvio Rodríguez / Pablo Milanés,1,60
salsa_cubana,Salsa Cubana,サルサ・クバーナ,son_cubano,ソンを母体に発展したキューバ流ダンス・サルサ,Cuban dance salsa including timba,4,情熱/祝祭/ダンサブル,congas / timbales / piano montuno / brass,Los Van Van / NG La Banda,1,70
bolero_cubano,Bolero Cubano,ボレロ・クバーノ,,サンティアゴ起源のロマンティックなバラード,Romantic ballad form from Santiago,2,ロマンティック/切ない/夜,nylon guitar / bongos / strings / piano,Trío Matamoros / Beny Moré,1,80
mambo,Mambo,マンボ,,キューバ発の華麗なビッグバンド・ダンス音楽,Flashy Cuban big-band dance music,5,爆発/祝祭/ゴージャス,big band brass / timbales / congas / cowbell,Pérez Prado / Tito Puente / Machito,1,90
chacha,Cha-Cha-Chá,チャチャチャ,,軽快でエレガントなキューバの50年代ダンス,Elegant lighthearted 1950s Cuban dance,3,エレガント/軽快/キュート,güiro / timbales / flute / violins / piano,Enrique Jorrín / Orquesta Aragón,1,100
new_orleans_jazz,New Orleans Jazz,ニューオーリンズ・ジャズ,,ジャズ発祥の地の集団即興スタイル,Collective-improvisation jazz from its birthplace,4,祝祭/即興/陽気,cornet / clarinet / trombone / banjo / tuba,Louis Armstrong / King Oliver,1,110
dixieland,Dixieland Jazz,ディキシーランド・ジャズ,new_orleans_jazz,初期ジャズを継承したアップテンポな合奏,Up-tempo early-jazz ensemble style,4,陽気/レトロ/賑やか,trumpet / clarinet / trombone / banjo,Original Dixieland Jass Band,1,120
brass_band,Brass Band,ブラスバンド,,ニューオーリンズの金管バンド文化,New Orleans brass-band and second-line culture,4,パレード/祝祭/ファンキー,sousaphone / trumpet / trombone / snare,Rebirth Brass Band / Dirty Dozen Brass Band,1,130
new_orleans_funk,New Orleans Funk,ニューオーリンズ・ファンク,funk,セカンドラインのリズムが効いた南部のファンク,Southern funk built on second-line rhythm,4,パレード/祝祭/ファンキー,second line drums / sousaphone / brass / piano,The Meters / Dr. John / Trombone Shorty,1,140
