genre_id,place_id,relation_type,weight
guaguanco,cuba_matanzas,origin,1.0
guaguanco,cuba_havana,important,0.8
rumba_cubana,cuba_havana,important,0.8
rumba_cubana,cuba_matanzas,origin,1.0
afro_cuban_jazz,cuba_havana,origin,1.0
rumba_columbia,cuba_matanzas,origin,1.0
son_cubano,cuba_santiago,origin,1.0
son_cubano,cuba_havana,important,0.8
trova,cuba_santiago,origin,1.0
salsa_cubana,cuba_havana,origin,1.0
bolero_cubano,cuba_havana,origin,1.0
new_orleans_jazz,usa_new_orleans,origin,1.0
dixieland,usa_new_orleans,origin,1.0
brass_band,usa_new_orleans,origin,1.0
bebop,usa_new_york,origin,1.0
hard_bop,usa_new_york,origin,1.0
salsa_ny,usa_new_york,important,0.8
chicago_blues,usa_chicago,origin,1.0
house,usa_chicago,origin,1.0
motown,usa_detroit,origin,1.0
detroit_techno,usa_detroit,origin,1.0
country,usa_nashville,important,0.9
west_coast_jazz,usa_los_angeles,origin,1.0
funk,usa_los_angeles,important,0.8
soul,usa_memphis,important,0.9
memphis_blues,usa_memphis,origin,1.0
hawaiian,usa_honolulu,origin,1.0
samba,brazil_rio,origin,1.0
bossa_nova,brazil_rio,origin,1.0
choro,brazil_rio,origin,1.0
axe,brazil_bahia,origin,1.0
samba_reggae,brazil_bahia,origin,1.0
frevo,brazil_recife,origin,1.0
maracatu,brazil_recife,origin,1.0
mpb,brazil_sao_paulo,important,0.8
forro,brazil_fortaleza,important,0.8
reggae,jamaica_kingston,origin,1.0
dub,jamaica_kingston,origin,1.0
ska,jamaica_kingston,origin,1.0
rocksteady,jamaica_kingston,origin,1.0
dancehall,jamaica_kingston,origin,1.0
calypso,trinidad_pos,origin,1.0
soca,trinidad_pos,origin,1.0
steelpan,trinidad_pos,origin,1.0
merengue,dominican_santo_domingo,origin,1.0
bachata,dominican_santo_domingo,origin,1.0
reggaeton,panama_city,origin,1.0
reggaeton,puertorico_san_juan,important,0.8
bomba,puertorico_san_juan,origin,1.0
plena,puertorico_san_juan,origin,1.0
afro_peruvian,peru_lima,origin,1.0
chicha,peru_lima,origin,1.0
tango,argentina_buenos,origin,1.0
cumbia,colombia_cartagena,origin,1.0
salsa_calena,colombia_cali,origin,1.0
son_jarocho,mexico_veracruz,origin,1.0
afrobeat,nigeria_lagos,origin,1.0
highlife,ghana_accra,origin,1.0
soukous,congo_kinshasa,origin,1.0
mbalax,senegal_dakar,origin,1.0
desert_blues,mali_bamako,origin,1.0
ethio_jazz,ethiopia_addis,origin,1.0
gnawa,morocco_essaouira,origin,1.0
mahraganat,egypt_cairo,origin,1.0
kwaito,southafrica_johannesburg,origin,1.0
amapiano,southafrica_johannesburg,origin,1.0
gqom,southafrica_durban,origin,1.0
kuduro,angola_luanda,origin,1.0
semba,angola_luanda,origin,1.0
morna,capeverde_mindelo,origin,1.0
morna,portugal_lisbon,current,0.5
city_pop,japan_tokyo,origin,1.0
jp_jazz_fusion,japan_tokyo,important,0.8
shibuya_kei,japan_tokyo,origin,1.0
kayokyoku,japan_osaka,important,0.7
jp_funk,japan_osaka,important,0.7
okinawan_folk,japan_okinawa,origin,1.0
shimauta,japan_okinawa,origin,1.0
kpop,korea_seoul,origin,1.0
trot,korea_seoul,origin,1.0
shidaiqu,china_shanghai,origin,1.0
chinese_rock,china_beijing,origin,1.0
khoomei,mongolia_ulaanbaatar,origin,1.0
filmi,india_mumbai,origin,1.0
hindustani,india_varanasi,origin,1.0
carnatic,india_chennai,origin,1.0
bhangra,india_amritsar,origin,1.0
bhangra,uk_london,current,0.6
baul,india_kolkata,origin,1.0
goa_trance,india_goa,origin,1.0
qawwali,pakistan_lahore,origin,1.0
dangdut,indonesia_jakarta,origin,1.0
gamelan,indonesia_bali,origin,1.0
grime,uk_london,origin,1.0
uk_garage,uk_london,origin,1.0
jungle,uk_london,origin,1.0
trip_hop,uk_bristol,origin,1.0
chanson,france_paris,origin,1.0
musette,france_paris,origin,1.0
berlin_techno,germany_berlin,important,0.9
krautrock,germany_berlin,important,0.8
canzone_napoletana,italy_naples,origin,1.0
rebetiko,greece_athens,origin,1.0
fado,portugal_lisbon,origin,1.0
flamenco,spain_seville,origin,1.0
irish_folk,ireland_dublin,important,0.8
anatolian_rock,turkey_istanbul,origin,1.0
mambo,cuba_havana,origin,1.0
chacha,cuba_havana,origin,1.0
new_orleans_funk,usa_new_orleans,origin,1.0
zydeco,usa_lafayette,origin,1.0
swing_big_band,usa_new_york,origin,1.0
gypsy_jazz,france_paris,origin,1.0
acid_jazz,uk_london,origin,1.0
smooth_jazz,usa_los_angeles,origin,1.0
jazz_fusion,usa_new_york,origin,1.0
delta_blues,usa_clarksdale,origin,1.0
disco,usa_new_york,origin,1.0
gospel,usa_chicago,origin,1.0
rnb_neo_soul,usa_new_york,important,0.8
bluegrass,usa_owensboro,origin,1.0
bluegrass,usa_nashville,important,0.8
appalachian_folk,usa_asheville,origin,1.0
surf_rock,usa_los_angeles,origin,1.0
doo_wop,usa_new_york,origin,1.0
boogaloo,usa_new_york,origin,1.0
baiao,brazil_fortaleza,origin,1.0
milonga,argentina_buenos,origin,1.0
champeta,colombia_cartagena,origin,1.0
mariachi,mexico_guadalajara,origin,1.0
ranchera,mexico_guadalajara,origin,1.0
norteno,mexico_monterrey,origin,1.0
andean_folk,bolivia_lapaz,origin,1.0
juju,nigeria_lagos,origin,1.0
makossa,cameroon_douala,origin,1.0
benga,kenya_nairobi,origin,1.0
chimurenga,zimbabwe_harare,origin,1.0
isicathamiya,southafrica_durban,origin,1.0
arabic_tarab,egypt_cairo,origin,1.0
khaleeji,uae_dubai,origin,1.0
ottoman_classical,turkey_istanbul,origin,1.0
persian,iran_tehran,origin,1.0
sufi,turkey_konya,origin,1.0
israeli_fusion,israel_telaviv,origin,1.0
tarantella,italy_naples,origin,1.0
polka,czech_prague,origin,1.0
balkan_brass,serbia_belgrade,origin,1.0
klezmer,poland_krakow,origin,1.0
gypsy_romani,romania_bucharest,origin,1.0
csardas,hungary_budapest,origin,1.0
bulgarian_voices,bulgaria_sofia,origin,1.0
russian_folk,russia_moscow,origin,1.0
nordic_folk,norway_oslo,origin,1.0
estonian_choral,estonia_tallinn,origin,1.0
sami_joik,norway_tromso,origin,1.0
rajasthani,india_jaisalmer,origin,1.0
thai_luk_thung,thailand_bangkok,origin,1.0
vietnamese,vietnam_hanoi,origin,1.0
chinese_traditional,china_xian,origin,1.0
peking_opera,china_beijing,origin,1.0
enka,japan_osaka,important,0.7
gagaku,japan_kyoto,origin,1.0
polynesian,samoa_apia,origin,1.0
maori_haka,nz_auckland,origin,1.0
aboriginal,australia_alice,origin,1.0
quebecois_folk,canada_montreal,origin,1.0
inuit_throat_singing,canada_iqaluit,origin,1.0
russian_rock,russia_spb,origin,1.0
tuvan_throat_singing,russia_kyzyl,origin,1.0
yodel,switzerland_appenzell,origin,1.0
scottish_folk,uk_edinburgh,origin,1.0
breton_celtic,france_brest,origin,1.0
galician_celtic,spain_santiago,origin,1.0
georgian_polyphony,georgia_tbilisi,origin,1.0
chanson_quebecoise,canada_quebec_city,origin,1.0
funana,capeverde_praia,origin,1.0
coladeira,capeverde_mindelo,origin,1.0
batuku,capeverde_praia,origin,1.0
tahitian,frenchpolynesia_papeete,origin,1.0
fijian,fiji_suva,origin,1.0
guqin,china_hangzhou,origin,1.0
cantopop,hongkong_hk,origin,1.0
mandopop,taiwan_taipei,origin,1.0
ghazal,india_delhi,origin,1.0
lavani,india_pune,origin,1.0
