keyword_id,genre_id,keyword,language,priority,is_active,search_note
kw_0001,guaguanco,guaguancó rumba cubana,es,1,1,low-noise compound
kw_0002,guaguanco,guaguanco,en,2,1,basic spelling
kw_0003,guaguanco,ルンバ ワワンコ,ja,3,1,japanese query
kw_0004,rumba_cubana,rumba cubana tradicional,es,1,1,low-noise compound
kw_0005,rumba_cubana,cuban rumba,en,2,1,english
kw_0006,afro_cuban_jazz,afro cuban jazz,en,1,1,basic
kw_0007,afro_cuban_jazz,latin jazz cuba,en,2,1,broader
kw_0008,rumba_columbia,rumba columbia cuba,es,1,1,disambiguate from Colombia country
kw_0009,rumba_columbia,columbia rumba matanzas,es,2,1,place qualifier
kw_0010,son_cubano,son cubano tradicional,es,1,1,low-noise
kw_0011,son_cubano,son cubano,en,2,1,basic
kw_0012,son_cubano,ソン・クバーノ,ja,3,1,japanese
kw_0013,trova,trova cubana,es,1,1,basic
kw_0014,trova,nueva trova,es,2,1,subgenre
kw_0015,salsa_cubana,salsa cubana,es,1,1,basic
kw_0016,salsa_cubana,timba cuba,es,2,1,subgenre
kw_0017,bolero_cubano,bolero cubano clásico,es,1,1,low-noise
kw_0018,bolero_cubano,bolero cuba,es,2,1,basic
kw_0019,new_orleans_jazz,new orleans jazz traditional,en,1,1,low-noise
kw_0020,new_orleans_jazz,new orleans jazz,en,2,1,basic
kw_0021,dixieland,dixieland jazz,en,1,1,basic
kw_0022,dixieland,traditional dixieland,en,2,1,low-noise
kw_0023,brass_band,new orleans brass band,en,1,1,basic
kw_0024,brass_band,second line brass band,en,2,1,context
kw_0025,bebop,bebop jazz,en,1,1,basic
kw_0026,bebop,charlie parker bebop,en,2,1,artist
kw_0027,bebop,dizzy gillespie bebop,en,3,1,artist
kw_0028,hard_bop,hard bop jazz,en,1,1,basic
kw_0029,hard_bop,art blakey hard bop,en,2,1,artist
kw_0030,salsa_ny,salsa new york fania,en,1,1,label qualifier
kw_0031,salsa_ny,nuyorican salsa,en,2,1,context
kw_0032,chicago_blues,chicago blues,en,1,1,basic
kw_0033,chicago_blues,electric chicago blues,en,2,1,low-noise
kw_0034,house,chicago house music,en,1,1,disambiguate
kw_0035,house,classic house chicago,en,2,1,low-noise
kw_0036,motown,motown classics,en,1,1,basic
kw_0037,motown,motown soul,en,2,1,broader
kw_0038,detroit_techno,detroit techno,en,1,1,basic
kw_0039,detroit_techno,classic detroit techno,en,2,1,low-noise
kw_0040,country,classic country music,en,1,1,low-noise
kw_0041,country,nashville country,en,2,1,place
kw_0042,west_coast_jazz,west coast jazz,en,1,1,basic
kw_0043,west_coast_jazz,cool jazz west coast,en,2,1,context
kw_0044,funk,funk music 70s,en,1,1,low-noise
kw_0045,funk,classic funk,en,2,1,basic
kw_0046,soul,memphis soul stax,en,1,1,label qualifier
kw_0047,soul,southern soul,en,2,1,broader
kw_0048,memphis_blues,memphis blues,en,1,1,basic
kw_0049,memphis_blues,beale street blues,en,2,1,place
kw_0050,hawaiian,hawaiian slack key guitar,en,1,1,low-noise
kw_0051,hawaiian,traditional hawaiian music,en,2,1,basic
kw_0052,samba,samba de roda,pt,1,1,low-noise traditional
kw_0053,samba,samba brasil,pt,2,1,basic
kw_0054,samba,サンバ,ja,3,1,japanese
kw_0055,bossa_nova,bossa nova,en,1,1,basic
kw_0056,bossa_nova,bossa nova classics,en,2,1,low-noise
kw_0057,choro,choro brasileiro,pt,1,1,basic
kw_0058,choro,choro instrumental,pt,2,1,low-noise
kw_0059,axe,axé music bahia,pt,1,1,place
kw_0060,axe,axé brasil,pt,2,1,basic
kw_0061,samba_reggae,samba reggae olodum,pt,1,1,artist qualifier
kw_0062,samba_reggae,samba-reggae bahia,pt,2,1,place
kw_0063,frevo,frevo pernambuco,pt,1,1,place
kw_0064,frevo,frevo recife,pt,2,1,place
kw_0065,maracatu,maracatu nação,pt,1,1,subgenre
kw_0066,maracatu,maracatu recife,pt,2,1,place
kw_0067,mpb,mpb música popular brasileira,pt,1,1,full term
kw_0068,mpb,mpb clássicos,pt,2,1,low-noise
kw_0069,forro,forró pé de serra,pt,1,1,low-noise traditional
kw_0070,forro,forró tradicional,pt,2,1,basic
kw_0071,reggae,roots reggae,en,1,1,low-noise
kw_0072,reggae,reggae classics,en,2,1,basic
kw_0073,reggae,レゲエ,ja,3,1,japanese
kw_0074,dub,dub reggae,en,1,1,basic
kw_0075,dub,king tubby dub,en,2,1,artist
kw_0076,ska,ska jamaica,en,1,1,disambiguate
kw_0077,ska,skatalites ska,en,2,1,artist
kw_0078,rocksteady,rocksteady jamaica,en,1,1,basic
kw_0079,rocksteady,rocksteady classics,en,2,1,low-noise
kw_0080,dancehall,dancehall classic,en,1,1,low-noise
kw_0081,dancehall,jamaican dancehall,en,2,1,basic
kw_0082,calypso,calypso trinidad,en,1,1,place
kw_0083,calypso,classic calypso,en,2,1,low-noise
kw_0084,soca,soca music,en,1,1,basic
kw_0085,soca,trinidad soca,en,2,1,place
